id,stage,label_cn,family_cn,default_tier,visual_direction,recommend_when,within_range_diversity,do_not_infer,near_neighbors,style_groups
"C11","color","深浅层次","饱和度与对比","core","通过多级明度建立清楚层次，而非固定单色","人物与白底之间需要更可靠分离，且服装层次要支撑动作时","轮换主深辅浅、主浅辅深、中间调跨度、面积比例和局部轮廓强调","不得固定为黑白搭配、显瘦目的或成熟风格","C13","not-applicable"
"C12","color","柔和低对比","饱和度与对比","core","颜色和值域跳跃较小、过渡平顺","可见面部对比较柔和，或复杂姿态需要低噪声服装时","轮换冷暖邻近、明度梯度、低饱和层次、材质差异和细小强调区域","不得推断温柔性格、女性化、年龄或指定浅色","C06","not-applicable"
"C13","color","鲜明高对比","饱和度与对比","extended","色块和明暗分区清楚、远距离辨识强","可见特征对比较高、动作轮廓强，且白底缩略图需要更高分离度时","轮换明暗对照、冷暖对照、纯度对照、大小色块、边缘软硬和强调位置","不得推断攻击性、外向、舞台身份或固定两种颜色","C11;C18","not-applicable"
"C14","color","多彩协调","色彩组织","extended","允许多个色彩方向但保持主次和整体秩序","角色识别稳定、造型承载力较强，且批量卡片需要广覆盖时","轮换主调、辅调、强调比例、明度阶梯、冷暖平衡及每张卡的色彩数量","不得生成彩虹堆叠、儿童化、杂乱拼接或无约束随机","C07;C18","not-applicable"
"C15","color","复古沉静","氛围倾向","extended","略降饱和、沉着、有轻微时间感但不指向年代","可见线条或发型具有经典秩序，且用户希望降低现代锐利感时","轮换深浅、冷暖、褪色程度、主辅面积、纹理颗粒感和材质光泽","不得推断年代、历史身份、怀旧性格或历史服装","C01;C08","not-applicable"
"C16","color","无彩简洁","色彩组织","extended","减少色相竞争，以明度、轮廓和材质组织画面","身份特征和动作已经足够突出，需要极低色彩干扰时","轮换明暗比例、中间调层级、纹理、哑光或光泽、轮廓边和小面积非色相强调","不得强制黑白灰单品、极简穿搭、职场身份或冷淡性格","C05","not-applicable"
"C17","color","单一主调","色彩组织","extended","一类宽泛色相倾向主导，其他部分保持从属","角色需要很强系列统一感，同时仍要在同范围内保持卡片差异时","轮换主调深浅、纯度、冷暖偏移、同类渐变、辅色面积和材质表现","不得指定具体色名，也不得让全部卡片颜色完全相同","","not-applicable"
"C18","color","对比撞色","色彩组织","special","通过受控的色彩或明度碰撞形成强记忆点","角色轮廓承载力强、用户偏好大胆视觉，且动作关键部位不会被色块切碎时","轮换对比类型、色块面积、强调位置、明度差、纯度差及一主一辅或多层节奏","不得无序随机、固定具体配色、制造攻击性或遮挡动作","C07;C13;C14","not-applicable"
"S01","style","休闲","日常生活","core","松弛、自然、日常适配范围广","姿态自然、轮廓不需要过强结构，或希望角色更亲近易读时","轮换宽松与合体比例、长短层次、轻重材质、简洁或趣味细节及鞋履重量感","不得推断懒散、居家场景、收入、职业或生活方式","S05;S14;S19;S25;S53;S69","shared"
"S02","style","运动","运动功能","core","强调活动度、节奏和关节可见性","动作幅度较大、体态有力量感或需要高机动性时","轮换轻运动、训练感、复古运动、都市运动、层次强弱、材质机能感和图形节奏","不得推断运动能力、体型价值、具体运动项目或队服","S10;S26;S40;S57;S74","shared"
"S03","style","学院","结构清爽","core","整洁、有秩序、带学习氛围但不扮演学生","面部和发型线条清楚、体态端正，或希望形成亲和的结构感时","轮换清爽学院、复古学院、运动学院、文艺学院、软结构或硬结构及层次比例","不得使用校服、校徽，不得推断年龄、学生身份或教育程度","S11;S27;S41","shared"
"S04","style","职场","结构清爽","core","专业、利落、表达清楚但不绑定职业","轮廓适合清晰结构、站姿稳定，或用户需要正式可信的展示感时","轮换柔和职场、利落职场、创意职场、轻正式、层次结构、材质软硬与比例","不得推断真实职业、权力、收入、性别角色或办公室场景","S05;S06;S16;S56","shared"
"S05","style","通勤","日常生活","core","实用、整洁、适合城市日常移动","比例需要兼顾舒展与利落，或希望兼具日常和正式度时","轮换轻通勤、松弛通勤、简约通勤、层次通勤、软硬材质和鞋履稳重度","不得推断城市身份、交通方式、职业或工作状态","S01;S04;S06;S55;S71","shared"
"S06","style","都市简约","结构清爽","core","现代、低噪声、线条与比例优先","五官、发型或角色标记已经醒目，服装应提供干净框架时","轮换直线与曲线、短长层次、合体与松量、单层与叠穿、哑光与微光泽以及细节密度","不得推断冷淡、财富、职业或固定中性色","S04;S05;S16;S28;S54;S70","shared"
"S07","style","温柔优雅","精致柔和","core","线条柔顺、比例克制、整体精致","可见线条偏柔和或用户希望降低动作画面的硬朗感时","轮换轻盈优雅、现代优雅、松弛优雅、简洁优雅、曲直比例、材质垂坠度和细节强弱","不得推断性别、年龄、性格、阶层或改变身体比例","S13;S17;S42;S73","shared"
"S08","style","文艺自然","自然人文","core","自然、含蓄、重视纹理与层次","可见特征细腻、气质线条舒展，或希望降低商业造型感时","轮换简洁文艺、自然层次、轻复古、手作质感、宽窄比例、纹理密度和细节位置","不得推断职业、智力、性格、乡村生活或艺术家身份","S18;S31;S46;S60;S75","shared"
"S09","style","街头潮流","潮流表达","core","图形感强、松量鲜明、具有当代节奏","角色识别度高、动作张力强，且较大廓形不会遮挡关键关节时","轮换简洁街头、运动街头、复古街头、都市街头、松量比例、层次和图形密度","不得使用品牌标识，不得推断帮派、攻击性、年龄或社会身份","S12;S23;S29;S58","shared"
"S10","style","户外机能","运动功能","core","实用、可动、层次清楚、功能感明确","动作需要可靠活动度、身体轮廓和关节需要清楚展示时","轮换轻户外、都市户外、简洁机能、层次机能、材质轻重、收放结构和细节密度","不得生成真实户外场景、极限运动、专业身份或危险装备","S02;S15;S30;S59","shared"
"S11","style","复古","潮流表达","core","借助比例、纹理和结构形成经典时间感","发型、面部或角色设计具有经典秩序，且用户希望增强故事性时","轮换学院复古、都市复古、休闲复古、精致复古、年代感强弱、纹理和层次","不得指定真实年代、历史身份、民族服装或完整复刻","S03;S32;S47;S61;S78","shared"
"S12","style","甜酷","潮流表达","core","柔和元素与清晰力量感并置","可见线条同时具有柔和与明确对比，或用户偏好活泼但不幼态时","轮换偏甜、偏酷、运动甜酷、街头甜酷、结构强弱、细节密度和材质软硬","不得幼化、性别化、性化或推断年龄与性格","S09;S45;S77","shared"
"S13","style","轻奢质感","精致柔和","extended","重视克制的精致度、材质与完成度","角色线条清楚、画面承载力足够，且希望提升正式与精致感时","轮换简约质感、柔和质感、都市质感、低调华丽、材质光泽、层次与细节密度","不得推断财富、品牌、地位、珠宝需求或社交身份","S07;S80","shared"
"S14","style","旅行度假","日常生活","extended","舒展、轻松、具流动感但仍适合白底卡片","姿态自然、动作幅度舒展，且用户希望更轻松明快时","轮换城市旅行、自然旅行、简洁度假、文艺度假、松量、垂坠、层次与轻重感","不得生成海滩、酒店、旅游场景或旅行身份；儿童或年龄不确定对象不得性化；明确成年人不附加 Skill 级服装尺度限制","S01;S79","shared"
"S15","style","工装功能","运动功能","extended","结构明确、耐用感强、细节服务动作","轮廓承载力较强、动作需要明确分区或功能层次时","轮换轻工装、都市工装、简洁工装、运动工装、结构密度、收放比例和材质重量","不得推断劳动职业、工具使用、工业场景或危险任务","S10;S33;S62","shared"
"S16","style","中性利落","结构清爽","core","不依赖性别编码，线条简洁、比例明确","可见结构线条清楚，或用户希望减少性别化装饰并提高动作可读性时","轮换柔和中性、硬朗中性、都市中性、休闲中性、曲直比例、松量和层次","不得推断性别身份、性取向、性格或职业","S04;S06","shared"
"S17","style","浪漫","精致柔和","extended","流动、细腻、具有装饰节奏但不过度复杂","可见线条柔和、动作幅度适中，且装饰不会遮挡关节时","轮换现代浪漫、简洁浪漫、复古浪漫、自然浪漫、装饰密度、垂坠度和层次","不得推断恋爱关系、性格、性别、脆弱或亲密场景","S07;S18;S76","shared"
"S18","style","田园自然","自然人文","extended","轻松、有机、纹理自然但不绑定场景","角色轮廓柔和或用户希望更亲近自然的视觉语言时","轮换简洁田园、文艺田园、复古田园、现代田园、纹理、松量、层次和细节密度","不得推断乡村生活、民族、阶层、职业或生成自然背景","S08;S17;S48","shared"
"S19","style","居家舒适","日常生活","extended","柔软、低压力、保持完整和得体","动作范围温和、角色需要亲近感且服装仍能清楚显示全身时","轮换简洁舒适、层次舒适、轻运动舒适、文艺舒适、松量、材质软硬和结构清晰度","不得生成睡衣、卧室、私密状态、懒散行为或亲密暗示","S01","shared"
"S20","style","东方现代","自然人文","extended","用克制线条、比例、留白和材质表达现代东方感","用户明确接受东方现代方向，或角色线条与该类克制结构相容时","轮换极简东方、都市东方、文艺东方、轻礼仪感、曲直关系、层次与材质；文化符号须另行确认","不得推断民族、国籍、宗教或擅自加入传统纹样与礼服符号","S35;S50;S65","shared"
"S21","style","舞台表演","叙事特别","special","强调远距离可读性、节奏和视觉焦点","用户明确需要表演感，且动作语义允许更强造型时","轮换现代舞台、复古舞台、简洁舞台、华丽舞台、焦点位置、层次和材质反差","不得生成舞台背景、明星身份或替代动作语义；儿童或年龄不确定对象不得性化；明确成年人不附加 Skill 级服装尺度限制","S22;S37;S52;S68","shared"
"S22","style","艺术实验","叙事特别","special","比例、材质或结构更有探索性但仍可读","用户明确希望实验感，且角色识别和动作关节不会被削弱时","轮换结构实验、材质实验、比例实验、图形实验、非对称程度和细节密度","不得扭曲解剖、遮挡动作、制造不可穿戴危险结构或推断艺术身份","S21;S24","shared"
"S23","style","朋克摇滚","潮流表达","special","高对比、图形明确、带反叛视觉语汇","用户明确偏好强态度风格，且细节不会影响教学动作时","轮换简洁朋克、街头朋克、复古摇滚、现代摇滚、图形密度、材质反差和金属感强弱","不得加入暴力、武器、自伤、帮派标识、敌意表情或危险配件","S09","shared"
"S24","style","未来科技","叙事特别","special","流线、技术感、干净锐利但不改变角色身份","用户明确偏好未来感，且角色轮廓能承载更强结构时","轮换都市未来、简洁科技、运动科技、实验科技、结构锐度、材质光泽和图形密度","不得变成机器人、赛博场景、发光道具、身份转换或解剖改造","S22;S36","shared"
"S25","style","阳光休闲","日常生活","core","明朗亲和、轻松利落，以清洁轮廓和自然节奏呈现健康童真","角色表情开朗、姿态自然，或需要适配多数日常动作而不过度造型时","轮换松量、长短层次、曲直比例、材质轻重、图形疏密与活力强调位置","不得把呈现组等同真实性别；不得推断性格、家庭背景或生活方式；不得性化、成人化或加入暴露与成熟魅惑元素","S28","child-masculine"
"S26","style","元气运动","运动功能","core","轻快有节奏、活动感清楚，优先保证关节轮廓和动作可读性","动作幅度较大、姿态有弹性，或缩略卡需要更鲜明的动态识别时","轮换轻运动与都市运动倾向、轮廓收放、结构分区、图形节奏、材质机能感与动势强弱","不得把呈现组等同真实性别；不得推断运动能力、项目、队伍或身体价值；不得性化、成人化或使用危险专业装备","S02;S29;S30","child-masculine"
"S27","style","少年学院","结构清爽","core","清爽端正、层次有序，保留东亚主流学院审美的亲和与书卷感但不扮演学生","可见线条整洁、体态端正，或希望画面兼具秩序感和轻快感时","轮换现代与复古倾向、软硬结构、层次数量、比例松紧、纹理细密度与轻正式程度","不得把呈现组等同真实性别；不得使用校服、校徽或推断学校、学历、成绩与家庭条件；不得性化或成人化","S03;S32;S34","child-masculine"
"S28","style","轻潮简约","结构清爽","core","现代低噪声、清洁耐看，以轻量潮流感和克制细节突出角色本身","五官、发型或角色标记已较鲜明，需要服装提供当代但不过度抢眼的框架时","轮换直曲线关系、松紧比例、层次简繁、材质哑光或微光泽、图形面积与细节点缀强弱","不得把呈现组等同真实性别；不得推断城市、消费能力、品牌偏好或社交身份；不得性化、成人化或复制成人潮牌造型","S25;S29","child-masculine;child-feminine"
"S29","style","街头活力","潮流表达","core","图形感鲜明、松弛有动势，强调年轻活力而保持清爽、友好和可读","角色识别稳定、动作张力较强，且较活跃的视觉节奏不会遮挡关键关节时","轮换简洁街头、运动街头与复古街头倾向、轮廓松量、层次高低、图形密度及材质反差","不得把呈现组等同真实性别；不得加入品牌、帮派、暴力或成人夜生活符号；不得性化、成人化或塑造攻击性身份","S28;S37","child-masculine"
"S30","style","户外探索","运动功能","core","轻机能、耐看而富探索感，以清晰分区和自然活力支持大动作","动作需要较高活动度、轮廓需要稳定分离，或希望呈现自然健康的探索气息时","轮换都市户外与自然户外倾向、结构收放、层次轻重、纹理粗细、功能细节密度与视觉重心","不得把呈现组等同真实性别；不得推断户外经验、地域、阶层或冒险能力；不得性化、成人化或加入危险生存装备","S10;S26;S33","child-masculine;child-feminine"
"S31","style","文艺少年","自然人文","core","安静清新、富有人文温度，以自然纹理、留白和舒展比例形成含蓄质感","可见特征细腻、姿态温和，或需要降低商业造型感并突出亲和气质时","轮换现代文艺与轻复古倾向、松紧比例、层次疏密、纹理颗粒、柔硬材质及细节位置","不得把呈现组等同真实性别；不得推断智力、性格、艺术特长、家庭教育或社会阶层；不得性化或成人化","S32","child-masculine"
"S32","style","复古清新","潮流表达","core","经典比例与清亮童真并置，具有轻微时间感但整体干净、明快、不做年代复刻","角色线条有秩序、表情亲和，或希望增加故事感而保持儿童友好时","轮换学院复古、日常复古与文艺复古倾向、年代感轻重、纹理细密、结构软硬及层次数量","不得把呈现组等同真实性别；不得指定真实年代、历史身份、民族身份或家庭背景；不得性化、成人化或复刻成人怀旧造型","S27;S31","child-masculine"
"S33","style","童趣工装","运动功能","extended","结构分区清楚、耐用感轻快，以可控功能细节和童趣节奏服务动作表达","角色轮廓承载力较强、动作需要明确分区，且功能感不会显得沉重时","轮换轻工装与都市机能倾向、轮廓收放、分区大小、细节密度、材质重量感与趣味图形比例","不得把呈现组等同真实性别；不得推断劳动职业、工具使用、家庭环境或身体能力；不得性化、成人化或加入危险器具","S15;S30","child-masculine;child-feminine"
"S34","style","轻礼仪感","结构清爽","extended","端正精致、克制有礼，以清洁结构和适度仪式感呈现儿童友好的正式度","姿态稳定、轮廓整洁，或用户需要节庆、纪念与正式展示感但不绑定场合时","轮换现代礼仪与轻复古倾向、软硬结构、对称程度、细节精简度、材质光泽与正式度梯度","不得把呈现组等同真实性别；不得推断家庭阶层、宗教、学校、礼仪身份或真实活动；不得性化、成人化或模仿成人权力造型","S27","child-masculine"
"S35","style","东方新意","自然人文","extended","以留白、克制线条、含蓄层次和现代材质表达清新的东方审美，不堆砌传统符号","角色轮廓适合简洁曲直关系，或用户接受现代东方方向且希望画面含蓄耐看时","轮换极简东方、都市东方与童趣东方倾向、曲直比例、层次开合、材质肌理、装饰密度及留白大小","不得把呈现组等同真实性别；不得推断民族、国籍、宗教、地域或文化归属；未经确认不得加入传统纹样、礼服与神圣符号，且不得性化或成人化","","child-masculine"
"S36","style","科技活力","潮流表达","special","流线清爽、轻量科技感与明快活力结合，保持可穿戴、亲切和儿童尺度","角色轮廓清楚、动作具有节奏，且适度未来感能增强缩略识别而不改变身份时","轮换都市未来、运动科技与简洁科技倾向、结构锐度、图形节奏、材质光泽、层次和技术感强弱","不得把呈现组等同真实性别；不得变成机器人、机甲、赛博身份或进行解剖改造；不得性化、成人化或加入武器与危险装置","S24;S38","child-masculine;child-feminine"
"S37","style","舞台酷感","叙事特别","special","远距离焦点清楚、节奏鲜明，以儿童友好的帅气表现力支持动作展示","用户明确需要舞台表现感，角色动作张力足够，且强化造型不会遮挡关节与面部时","轮换现代舞台、街头舞台与复古舞台倾向、焦点位置、图形密度、材质反差、轮廓张力与华丽度","不得把呈现组等同真实性别；不得推断明星、职业表演者、偶像或夜生活身份；不得性化、成人化、暴露身体或加入危险配件","S29","child-masculine"
"S38","style","童话幻想","童趣表达","special","轻盈奇想、故事感鲜明，以柔和结构和趣味细节营造安全、明亮的幻想气息","用户明确接受幻想方向，且角色识别与动作语义能在较强叙事造型中保持稳定时","轮换梦境、冒险与未来童话倾向、轮廓圆锐、层次轻重、装饰疏密、材质表象和幻想强度","不得把呈现组等同真实性别；不得推断民族、宗教、王族或超自然身份；不得性化、成人化、恐怖化或加入危险魔法与武器","S36","child-masculine"
"S39","style","甜美日常","日常生活","core","亲和明快、柔和但不幼稚，以清洁轮廓和适度趣味呈现自然童真","角色表情柔和、姿态自然，或希望在多数日常动作中保持轻松可爱而不喧闹时","轮换清新与俏皮倾向、曲直比例、松量、层次简繁、纹理细密度与趣味强调位置","不得把呈现组等同真实性别；不得推断性格、乖巧程度、家庭背景或生活方式；不得性化、成人化、暴露身体或使用成熟魅惑符号","S42","child-feminine"
"S40","style","元气运动","运动功能","core","轻快有弹性、节奏清楚，以健康活力和关节可见性支持不同动作","动作幅度较大、姿态有动势，或缩略卡需要清晰而明亮的动态识别时","轮换轻运动、都市运动与舞动运动倾向、轮廓收放、结构分区、材质机能感、图形节奏与动势强弱","不得把呈现组等同真实性别；不得推断运动能力、项目、队伍、体型价值或身体发育；不得性化、成人化或使用危险专业装备","S02;S45","child-feminine"
"S41","style","清雅学院","结构清爽","core","整洁清新、书卷感轻盈，以克制层次和柔和秩序表达东亚主流学院审美但不扮演学生","可见线条清楚、体态端正，或希望画面兼具亲和、文静与结构感时","轮换现代与复古倾向、软硬结构、曲直比例、层次数量、纹理细密度与轻正式程度","不得把呈现组等同真实性别；不得使用校服、校徽或推断学校、学历、成绩与家庭条件；不得性化或成人化","S03;S47","child-feminine"
"S42","style","温柔童雅","精致柔和","core","柔顺含蓄、精致而有儿童尺度，以温和曲线和克制细节营造耐看气质","可见特征柔和、姿态舒展，或需要降低动作画面的锐利感并保留完整轮廓时","轮换现代童雅与自然童雅倾向、曲直平衡、松紧比例、材质柔硬、层次轻重及细节密度","不得把呈现组等同真实性别；不得推断温顺性格、教养、阶层或审美身份；不得性化、成人化、收窄身体或强调身体发育","S39","child-feminine;child-masculine"
"S43","style","童趣梦幻","童趣表达","core","轻盈梦幻、色彩与形态节奏富想象力，同时保持清爽、明亮和动作可读","角色识别稳定、表情具有故事感，且趣味装饰不会遮挡脸部、手脚与关键关节时","轮换云朵感、星光感与自然幻想倾向、轮廓圆锐、层次轻重、装饰疏密、材质表象与梦幻强度","不得把呈现组等同真实性别；不得推断超自然、宗教、王族或童话角色身份；不得性化、成人化、恐怖化或加入危险道具","S51","child-feminine;child-masculine"
"S44","style","都市俏皮","潮流表达","core","现代清爽、灵动有趣，以克制图形和轻快比例形成适合东亚主流审美的都市感","角色表情生动、轮廓清楚，且需要更当代的活泼节奏而不过度夸张时","轮换简约俏皮、复古俏皮与轻街头倾向、曲直比例、轮廓松量、图形面积、细节位置与材质反差","不得把呈现组等同真实性别；不得推断城市、消费能力、品牌偏好或社交身份；不得性化、成人化或复制成人潮流造型","S45","child-feminine"
"S45","style","甜酷活力","潮流表达","core","柔和趣味与清晰力量感并置，活泼、有态度但不攻击、不成熟","角色可见线条兼有柔和与利落对比，或用户偏好鲜明潮流感且动作承载力足够时","轮换偏甜与偏酷重心、运动与街头倾向、结构强弱、图形密度、材质软硬及轮廓张力","不得把呈现组等同真实性别；不得推断叛逆性格、圈层、年龄或社交身份；不得性化、成人化、暴露身体或加入敌意与危险符号","S40;S44","child-feminine"
"S46","style","文艺清新","自然人文","core","自然通透、安静有温度，以留白、柔和纹理和舒展比例呈现清新人文感","可见特征细腻、姿态温和，或需要降低商业造型感并突出亲和与呼吸感时","轮换现代文艺、自然文艺与轻复古倾向、松紧比例、层次疏密、纹理颗粒、柔硬材质及细节位置","不得把呈现组等同真实性别；不得推断智力、性格、艺术特长、家庭教育或社会阶层；不得性化或成人化","S48","child-feminine"
"S47","style","复古甜雅","精致柔和","extended","经典秩序与柔和童真结合，具有轻微时间感但不过度装饰、不做年代复刻","角色线条整洁、表情亲和，或希望增加精致故事感同时保持儿童友好时","轮换学院复古、日常复古与文艺复古倾向、甜雅程度、年代感轻重、纹理细密、结构软硬及层次数量","不得把呈现组等同真实性别；不得指定真实年代、历史身份、民族身份或家庭背景；不得性化、成人化或复刻成人名媛造型","S41;S46","child-feminine"
"S48","style","自然田园","自然人文","extended","有机轻松、清新舒展，以自然纹理和朴素层次表达儿童友好的田园气息而不绑定场景","角色轮廓柔和、动作自然，或用户希望画面更亲近、松弛且保持白底可读时","轮换现代田园、文艺田园与轻复古倾向、纹理粗细、轮廓松量、层次轻重、细节疏密及自然感强弱","不得把呈现组等同真实性别；不得推断乡村生活、民族、地域、阶层或家庭条件；不得性化、成人化或自动生成自然背景","S46","child-feminine;child-masculine"
"S49","style","轻舞灵感","精致柔和","extended","轻盈流动、节奏优美，以儿童友好的舞动感突出姿态而不扮演特定舞种或职业","动作线条舒展、手臂与步态变化较多，且流动层次不会遮挡关键关节时","轮换现代舞感、自然律动与轻舞台倾向、流动方向、层次轻重、曲直比例、材质表象及节奏强弱","不得把呈现组等同真实性别；不得推断舞蹈能力、舞种、职业、比赛或身体条件；不得性化、成人化、暴露身体或使用成熟舞台符号","S52","child-feminine;child-masculine"
"S50","style","东方新意","自然人文","extended","以含蓄线条、留白、轻盈层次和现代质感表达清雅东方审美，不堆砌传统符号","角色轮廓适合柔和曲直关系，或用户接受现代东方方向且希望画面精致、清新时","轮换极简东方、都市东方与童趣东方倾向、曲直比例、层次开合、材质肌理、装饰密度及留白大小","不得把呈现组等同真实性别；不得推断民族、国籍、宗教、地域或文化归属；未经确认不得加入传统纹样、礼服与神圣符号，且不得性化或成人化","","child-feminine"
"S51","style","公主幻想","童趣表达","special","童话仪式感、明亮华美但保持儿童尺度，以轻盈秩序和梦境细节营造安全幻想","用户明确接受公主幻想方向，且较强叙事造型不会削弱角色识别与动作语义时","轮换现代童话、自然童话与星光幻想倾向、轮廓开合、层次轻重、装饰疏密、材质表象及华丽度","不得把呈现组等同真实性别；不得推断真实王族、阶层、宗教、民族或婚恋身份；不得性化、成人化、束缚身体或使用婚礼与成熟魅惑符号","S43;S52","child-feminine"
"S52","style","舞台梦幻","叙事特别","special","远距离焦点明确、梦幻节奏鲜明，以儿童友好的闪耀表现力支持动作展示","用户明确需要舞台与梦幻感，角色动作张力足够，且强化造型不会遮挡关节与面部时","轮换现代舞台、童话舞台与轻复古舞台倾向、焦点位置、装饰密度、材质反差、轮廓张力及华丽度","不得把呈现组等同真实性别；不得推断明星、偶像、职业表演者或夜生活身份；不得性化、成人化、暴露身体或加入危险配件","S49;S51","child-feminine"
"S53","style","松弛休闲","日常生活","core","自然舒展、干净不刻意，以从容比例和低压力层次呈现成人男性的现代日常感","角色明确为成人、男性化穿搭呈现清晰，且可见体态适合舒展轮廓或用户希望亲近自然时","在松量、长短层次、轻重材质、简繁细节、鞋履量感与季节适配之间拉开差异","不得推断性别身份、职业、收入、性格、生活方式或真实年龄","S54;S60","adult-masculine"
"S54","style","都市清简","结构清爽","core","线条清楚、视觉低噪、比例现代，以克制细节承托面部与动作识别","角色明确为成人、男性化穿搭呈现清晰，且五官发型或身体线条已经具有较强视觉重点时","轮换直曲关系、合体与松量、单层与叠层、哑光与微光泽、结构软硬及细节密度","不得推断城市户籍、阶层、财富、职业、冷淡性格或性别身份","S06;S55;S63","adult-masculine"
"S55","style","清爽通勤","日常生活","core","整洁轻快、实用利落，在日常可动性与轻正式感之间保持平衡","角色明确为成人、男性化穿搭呈现清晰，且轮廓需要兼顾行动感与可靠秩序时","轮换轻正式与松弛比例、上下装结构、层次多少、材质轻重、长短节奏与鞋履正式度","不得推断真实工作、通勤方式、城市身份、收入、教育程度或性格","S05;S54;S56","adult-masculine"
"S56","style","商务正式","结构清爽","core","结构明确、端正可信、完成度高，以成熟秩序感突出正式表达而不绑定职业","角色明确为成人，且体态端正或用户需要更正式有分量的视觉效果时","轮换柔硬结构、正式程度、廓形宽窄、层次、材质光泽、领部节奏与细节克制度","不得推断管理身份、权力、财富、具体职业、婚恋状态或社会阶层","S55;S64","adult-masculine;adult-feminine"
"S57","style","运动型格","运动功能","core","力量感与活动度并重，以清楚分区和动态节奏支持成人体态魅力","角色明确为成人、男性化穿搭呈现清晰，且可见体态有动势、动作幅度较大或用户偏好活力方向时","轮换轻运动、训练感、都市运动、复古运动、合体与松量、图形节奏及材质机能强弱","不得推断运动能力、健身习惯、身体价值、具体项目、队伍身份或健康状况","S58;S59","adult-masculine"
"S58","style","都会街头","潮流表达","core","当代节奏、轮廓鲜明、松量有型，以图形和层次表达城市潮流感","角色明确为成人、男性化穿搭呈现清晰，且角色识别度与动作张力足以承载较强造型时","轮换简洁街头、运动街头、复古街头、精致街头、廓形大小、层次密度与图形强度","不得推断帮派、攻击性、年龄层、消费能力、城市归属或社会身份；不得使用品牌标识","S57;S61","adult-masculine"
"S59","style","都市户外","运动功能","core","功能感克制、结构清楚、可动可靠，将户外语汇收束为适合城市审美的现代造型","角色明确为成人，且动作需要高活动度或轮廓适合功能分区时","轮换轻户外、城市机能、旅行功能、极简机能、层次数量、收放结构与材质重量","不得推断户外经验、冒险性格、职业、地理环境或极限运动能力；不得生成危险装备","S10;S57;S62","adult-masculine;adult-feminine"
